Date,Region,Manufacturer,Measure,Frequency,Value,DateLabel,DateKey
2023-02-28,EU + EFTA + UK,Alfa Romeo,TTM,M,3405,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Alfa Romeo,UNITS,M,3405,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Alfa Romeo,YTD,M,3405,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Alpine,TTM,M,110,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Alpine,UNITS,M,110,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Alpine,YTD,M,110,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Audi,TTM,M,49456,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Audi,UNITS,M,49456,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Audi,YTD,M,49456,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,BMW,TTM,M,45432,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,BMW,UNITS,M,45432,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,BMW,YTD,M,45432,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,BMW Group,TTM,M,57526,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,BMW Group,UNITS,M,57526,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,BMW Group,YTD,M,57526,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Citroen,TTM,M,28931,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Citroen,UNITS,M,28931,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Citroen,YTD,M,28931,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Cupra,TTM,M,10588,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Cupra,UNITS,M,10588,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Cupra,YTD,M,10588,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,DS,TTM,M,4103,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,DS,UNITS,M,4103,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,DS,YTD,M,4103,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Dacia,TTM,M,44742,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Dacia,UNITS,M,44742,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Dacia,YTD,M,44742,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Fiat,TTM,M,30616,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Fiat,UNITS,M,30616,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Fiat,YTD,M,30616,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Ford,TTM,M,39176,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Ford,UNITS,M,39176,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Ford,YTD,M,39176,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Honda,TTM,M,3681,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Honda,UNITS,M,3681,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Honda,YTD,M,3681,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Hyundai,TTM,M,37925,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Hyundai,UNITS,M,37925,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Hyundai,YTD,M,37925,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Hyundai Group,TTM,M,77349,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Hyundai Group,UNITS,M,77349,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Hyundai Group,YTD,M,77349,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Jaguar,TTM,M,1113,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Jaguar,UNITS,M,1113,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Jaguar,YTD,M,1113,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Jaguar Land Rover Group,TTM,M,7006,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Jaguar Land Rover Group,UNITS,M,7006,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Jaguar Land Rover Group,YTD,M,7006,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Jeep,TTM,M,9712,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Jeep,UNITS,M,9712,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Jeep,YTD,M,9712,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Kia,TTM,M,39424,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Kia,UNITS,M,39424,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Kia,YTD,M,39424,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Lancia/Chrysler,TTM,M,2466,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Lancia/Chrysler,UNITS,M,2466,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Lancia/Chrysler,YTD,M,2466,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Land Rover,TTM,M,5893,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Land Rover,UNITS,M,5893,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Land Rover,YTD,M,5893,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Lexus,TTM,M,3055,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Lexus,UNITS,M,3055,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Lexus,YTD,M,3055,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mazda,TTM,M,12489,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mazda,UNITS,M,12489,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mazda,YTD,M,12489,2023-02,1677542400000
