Month,Manufacturer,Units Sold
2023-02,Alpine,110
2023-02,DS,4103
2023-02,Jaguar,1113
2023-02,Lancia/Chrysler,2466
2023-02,Smart,1452
2023-03,Alpine,196
2023-03,DS,5673
2023-03,Jaguar,3280
2023-03,Lancia/Chrysler,5082
2023-03,Smart,2565
2023-04,Alpine,196
2023-04,DS,5673
2023-04,Jaguar,3280
2023-04,Lancia/Chrysler,5082
2023-04,Smart,2565
2023-05,Alpine,447
2023-05,DS,5003
2023-05,Jaguar,2209
2023-05,Lancia/Chrysler,4712
2023-05,Smart,2279
2023-06,Alpine,582
2023-06,DS,5292
2023-06,Jaguar,2618
2023-06,Lancia/Chrysler,4519
2023-06,Smart,2273
2023-07,Alpine,582
2023-07,DS,5292
2023-07,Jaguar,2618
2023-07,Lancia/Chrysler,4519
2023-07,Smart,2273
2023-08,Alpine,582
2023-08,DS,5292
2023-08,Jaguar,2618
2023-08,Lancia/Chrysler,4519
2023-08,Smart,2273
2023-09,Alpine,582
2023-09,DS,5292
2023-09,Jaguar,2618
2023-09,Lancia/Chrysler,4519
2023-09,Smart,2273
2023-10,Alpine,582
2023-10,DS,5292
2023-10,Jaguar,2618
2023-10,Lancia/Chrysler,4519
2023-10,Smart,2273
2023-11,Alpine,582
2023-11,DS,5292
2023-11,Jaguar,2618
2023-11,Lancia/Chrysler,4519
2023-11,Smart,2273
2023-12,Alpine,708
2023-12,DS,2784
2023-12,Jaguar,1745
2023-12,Lancia/Chrysler,3021
2023-12,Smart,3079
2024-01,Alpine,211
2024-01,DS,3717
2024-01,Jaguar,1855
2024-01,Lancia/Chrysler,3926
2024-01,Smart,2369
2024-02,Alpine,300
2024-02,DS,3539
2024-02,Jaguar,1312
2024-02,Lancia/Chrysler,4172
2024-02,Smart,2093
2024-03,Alpine,466
2024-03,DS,4279
2024-03,Jaguar,5510
2024-03,Lancia/Chrysler,4890
2024-03,Smart,2803
2024-04,Alpine,397
2024-04,DS,3249
2024-04,Jaguar,1961
2024-04,Lancia/Chrysler,3820
2024-04,Smart,2732
2024-05,Alpine,358
2024-05,DS,2882
2024-05,Jaguar,1882
2024-05,Lancia/Chrysler,3847
2024-05,Smart,2285
2024-06,Alpine,834
2024-06,DS,3782
2024-06,Jaguar,1819
2024-06,Lancia/Chrysler,4179
2024-06,Smart,3201
2024-07,Alpine,191
2024-07,DS,2834
2024-07,Jaguar,1460
2024-07,Lancia/Chrysler,2843
2024-07,Smart,3201
2024-08,Alpine,191
2024-08,DS,2834
2024-08,Jaguar,1460
2024-08,Lancia/Chrysler,2843
2024-08,Smart,3201
2024-09,Alpine,191
2024-09,DS,2834
2024-09,Jaguar,1460
2024-09,Lancia/Chrysler,2843
2024-09,Smart,3201
2024-10,Alpine,289
2024-10,DS,2890
2024-10,Jaguar,1693
2024-10,Lancia/Chrysler,880
2024-10,Smart,3201
2024-11,Alpine,288
2024-11,DS,2787
2024-11,Jaguar,1228
2024-11,Lancia/Chrysler,899
2024-11,Smart,3201
2024-12,Alpine,609
2024-12,DS,2737
2024-12,Jaguar,791
2024-12,Lancia/Chrysler,725
2024-12,Smart,272
2025-01,Alpine,469
2025-01,DS,2191
2025-01,Jaguar,977
2025-01,Lancia/Chrysler,1052
2025-01,Smart,60
2025-02,Alpine,746
2025-02,DS,2868
2025-02,Jaguar,498
2025-02,Lancia/Chrysler,1155
2025-02,Smart,859
2025-03,Alpine,784
2025-03,DS,3110
2025-03,Jaguar,1128
2025-03,Lancia/Chrysler,1319
2025-03,Smart,989
2025-04,Alpine,959
2025-04,DS,2716
2025-04,Jaguar,49
2025-04,Lancia/Chrysler,1337
2025-04,Smart,766
2025-05,Alpine,959
2025-05,DS,2716
2025-05,Jaguar,49
2025-05,Lancia/Chrysler,1337
2025-05,Smart,766
2025-06,Alpine,1213
2025-06,DS,3476
2025-06,Jaguar,37
2025-06,Lancia/Chrysler,875
2025-06,Smart,1210
2025-07,Alpine,690
2025-07,DS,2245
2025-07,Jaguar,7
2025-07,Lancia/Chrysler,905
2025-08,Alpine,690
2025-08,DS,2245
2025-08,Jaguar,7
2025-08,Lancia/Chrysler,905
2025-09,Alpine,690
2025-09,DS,2245
2025-09,Jaguar,7
2025-09,Lancia/Chrysler,905
2025-10,Alpine,923
2025-10,DS,2150
2025-10,Jaguar,0
2025-10,Lancia/Chrysler,1106
2025-11,Alpine,929
2025-11,DS,1785
2025-11,Jaguar,0
2025-11,Lancia/Chrysler,1085
2025-12,Alpine,1528
2025-12,DS,2057
2025-12,Jaguar,1
2025-12,Lancia/Chrysler,820
