Month,Manufacturer,Units Sold
2023-02,Hyundai Group,77349
2023-02,Renault Group,91298
2023-02,Stellantis,167180
2023-02,Volkswagen,96864
2023-02,Volkswagen Group,235404
2023-03,Hyundai Group,119349
2023-03,Renault Group,120352
2023-03,Stellantis,250673
2023-03,Volkswagen,138086
2023-03,Volkswagen Group,346806
2023-04,Hyundai Group,119349
2023-04,Renault Group,120352
2023-04,Stellantis,250673
2023-04,Volkswagen,138086
2023-04,Volkswagen Group,346806
2023-05,Hyundai Group,96917
2023-05,Renault Group,110232
2023-05,Stellantis,190606
2023-05,Volkswagen,119128
2023-05,Volkswagen Group,291113
2023-06,Hyundai Group,106541
2023-06,Renault Group,133010
2023-06,Stellantis,209719
2023-06,Volkswagen,138574
2023-06,Volkswagen Group,327291
2023-07,Hyundai Group,106541
2023-07,Renault Group,133010
2023-07,Stellantis,209719
2023-07,Volkswagen,138574
2023-07,Volkswagen Group,327291
2023-08,Hyundai Group,106541
2023-08,Renault Group,133010
2023-08,Stellantis,209719
2023-08,Volkswagen,138574
2023-08,Volkswagen Group,327291
2023-09,Hyundai Group,106541
2023-09,Renault Group,133010
2023-09,Stellantis,209719
2023-09,Volkswagen,138574
2023-09,Volkswagen Group,327291
2023-10,Hyundai Group,106541
2023-10,Renault Group,133010
2023-10,Stellantis,209719
2023-10,Volkswagen,138574
2023-10,Volkswagen Group,327291
2023-11,Hyundai Group,106541
2023-11,Renault Group,133010
2023-11,Stellantis,209719
2023-11,Volkswagen,138574
2023-11,Volkswagen Group,327291
2023-12,Hyundai Group,77016
2023-12,Renault Group,111580
2023-12,Stellantis,135079
2023-12,Volkswagen,116221
2023-12,Volkswagen Group,273401
2024-01,Hyundai Group,86540
2024-01,Renault Group,92897
2024-01,Stellantis,183319
2024-01,Volkswagen,96817
2024-01,Volkswagen Group,254840
2024-02,Hyundai Group,79172
2024-02,Renault Group,96653
2024-02,Stellantis,186151
2024-02,Volkswagen,96562
2024-02,Volkswagen Group,248647
2024-03,Hyundai Group,112571
2024-03,Renault Group,123629
2024-03,Stellantis,228774
2024-03,Volkswagen,130445
2024-03,Volkswagen Group,324897
2024-04,Hyundai Group,91514
2024-04,Renault Group,109342
2024-04,Stellantis,166689
2024-04,Volkswagen,124077
2024-04,Volkswagen Group,296580
2024-05,Hyundai Group,92196
2024-05,Renault Group,106570
2024-05,Stellantis,173969
2024-05,Volkswagen,120141
2024-05,Volkswagen Group,296446
2024-06,Hyundai Group,102335
2024-06,Renault Group,142916
2024-06,Stellantis,206358
2024-06,Volkswagen,145414
2024-06,Volkswagen Group,345097
2024-07,Hyundai Group,93934
2024-07,Renault Group,95784
2024-07,Stellantis,153071
2024-07,Volkswagen,109327
2024-07,Volkswagen Group,274659
2024-08,Hyundai Group,93934
2024-08,Renault Group,95784
2024-08,Stellantis,153071
2024-08,Volkswagen,109327
2024-08,Volkswagen Group,274659
2024-09,Hyundai Group,93934
2024-09,Renault Group,95784
2024-09,Stellantis,153071
2024-09,Volkswagen,109327
2024-09,Volkswagen Group,274659
2024-10,Hyundai Group,82734
2024-10,Renault Group,102609
2024-10,Stellantis,150436
2024-10,Volkswagen,116321
2024-10,Volkswagen Group,289787
2024-11,Hyundai Group,79729
2024-11,Renault Group,111692
2024-11,Stellantis,142622
2024-11,Volkswagen,118728
2024-11,Volkswagen Group,287697
2024-12,Hyundai Group,78885
2024-12,Renault Group,129966
2024-12,Stellantis,126225
2024-12,Volkswagen,112804
2024-12,Volkswagen Group,278929
2025-01,Hyundai Group,83297
2025-01,Renault Group,97910
2025-01,Stellantis,154079
2025-01,Volkswagen,112844
2025-01,Volkswagen Group,268409
2025-02,Hyundai Group,73294
2025-02,Renault Group,107134
2025-02,Stellantis,155970
2025-02,Volkswagen,103681
2025-02,Volkswagen Group,249873
2025-03,Hyundai Group,110714
2025-03,Renault Group,139645
2025-03,Stellantis,215190
2025-03,Volkswagen,146958
2025-03,Volkswagen Group,358210
2025-04,Hyundai Group,89890
2025-04,Renault Group,110513
2025-04,Stellantis,165826
2025-04,Volkswagen,121954
2025-04,Volkswagen Group,296869
2025-05,Hyundai Group,89890
2025-05,Renault Group,110513
2025-05,Stellantis,165826
2025-05,Volkswagen,121954
2025-05,Volkswagen Group,296869
2025-06,Hyundai Group,93451
2025-06,Renault Group,142115
2025-06,Stellantis,180907
2025-06,Volkswagen,132092
2025-06,Volkswagen Group,323879
2025-07,Hyundai Group,91819
2025-07,Renault Group,104194
2025-07,Stellantis,151391
2025-07,Volkswagen,124464
2025-07,Volkswagen Group,306543
2025-08,Hyundai Group,91819
2025-08,Renault Group,104194
2025-08,Stellantis,151391
2025-08,Volkswagen,124464
2025-08,Volkswagen Group,306543
2025-09,Hyundai Group,91819
2025-09,Renault Group,104194
2025-09,Stellantis,151391
2025-09,Volkswagen,124464
2025-09,Volkswagen Group,306543
2025-10,Hyundai Group,81540
2025-10,Renault Group,113448
2025-10,Stellantis,157350
2025-10,Volkswagen,122239
2025-10,Volkswagen Group,308508
2025-11,Hyundai Group,79901
2025-11,Renault Group,115041
2025-11,Stellantis,138747
2025-11,Volkswagen,119626
2025-11,Volkswagen Group,299402
2025-12,Hyundai Group,83253
2025-12,Renault Group,127156
2025-12,Stellantis,131874
2025-12,Volkswagen,123641
2025-12,Volkswagen Group,307297
