Month,Manufacturer,TTM
2023-02,Alpine,110
2023-02,Jaguar,1113
2023-02,Lancia/Chrysler,2466
2023-02,Smart,1452
2023-03,Alpine,306
2023-03,Jaguar,4393
2023-03,Lancia/Chrysler,7548
2023-03,Smart,4017
2023-04,Alpine,502
2023-04,Jaguar,7673
2023-04,Lancia/Chrysler,12630
2023-04,Smart,6582
2023-05,Alpine,949
2023-05,Jaguar,9882
2023-05,Lancia/Chrysler,17342
2023-05,Smart,8861
2023-06,Alpine,1531
2023-06,Jaguar,12500
2023-06,Lancia/Chrysler,21861
2023-06,Smart,11134
2023-07,Alpine,2113
2023-07,Jaguar,15118
2023-07,Lancia/Chrysler,26380
2023-07,Smart,13407
2023-08,Alpine,2695
2023-08,Jaguar,17736
2023-08,Lancia/Chrysler,30899
2023-08,Smart,15680
2023-09,Alpine,3277
2023-09,Jaguar,20354
2023-09,Lancia/Chrysler,35418
2023-09,Smart,17953
2023-10,Alpine,3859
2023-10,Jaguar,22972
2023-10,Lancia/Chrysler,39937
2023-10,Smart,20226
2023-11,Alpine,4441
2023-11,Jaguar,25590
2023-11,Lancia/Chrysler,44456
2023-11,Smart,22499
2023-12,Alpine,5149
2023-12,Jaguar,27335
2023-12,Lancia/Chrysler,47477
2023-12,Smart,25578
2024-01,Alpine,5360
2024-01,Jaguar,29190
2024-01,Lancia/Chrysler,51403
2024-01,Smart,27947
2024-02,Alpine,5550
2024-02,Jaguar,29389
2024-02,Lancia/Chrysler,53109
2024-02,Smart,28588
2024-03,Alpine,5820
2024-03,Jaguar,31619
2024-03,Lancia/Chrysler,52917
2024-03,Smart,28826
2024-04,Alpine,6021
2024-04,Jaguar,30300
2024-04,Lancia/Chrysler,51655
2024-04,Smart,28993
2024-05,Alpine,5932
2024-05,Jaguar,29973
2024-05,Lancia/Chrysler,50790
2024-05,Smart,28999
2024-06,Alpine,6184
2024-06,Jaguar,29174
2024-06,Lancia/Chrysler,50450
2024-06,Smart,29927
2024-07,Alpine,5793
2024-07,BYD,4151
2024-07,Jaguar,28016
2024-07,Lancia/Chrysler,48774
2024-07,Smart,30855
2024-08,Alpine,5402
2024-08,BYD,8302
2024-08,Jaguar,26858
2024-08,Lancia/Chrysler,47098
2024-08,Smart,31783
2024-09,Alpine,5011
2024-09,BYD,12453
2024-09,Jaguar,25700
2024-09,Lancia/Chrysler,45422
2024-09,Smart,32711
2024-10,Alpine,4718
2024-10,BYD,18148
2024-10,Jaguar,24775
2024-10,Lancia/Chrysler,41783
2024-10,Smart,33639
2024-11,Alpine,4424
2024-11,BYD,24716
2024-11,Jaguar,23385
2024-11,Lancia/Chrysler,38163
2024-11,Smart,34567
2024-12,Alpine,4325
2024-12,BYD,33111
2024-12,Jaguar,22431
2024-12,Lancia/Chrysler,35867
2024-12,Smart,31760
2025-01,Alpine,4583
2025-01,BYD,41506
2025-01,Jaguar,21553
2025-01,Lancia/Chrysler,32993
2025-01,Smart,29451
2025-02,Alpine,5029
2025-02,BYD,49901
2025-02,Jaguar,20739
2025-02,Lancia/Chrysler,29976
2025-02,Smart,28217
2025-03,Alpine,5347
2025-03,BYD,58296
2025-03,Jaguar,16357
2025-03,Lancia/Chrysler,26405
2025-03,Smart,26403
2025-04,Alpine,5909
2025-04,BYD,66691
2025-04,Jaguar,14445
2025-04,Lancia/Chrysler,23922
2025-04,Smart,24437
2025-05,Alpine,6510
2025-05,BYD,75086
2025-05,Jaguar,12612
2025-05,Lancia/Chrysler,21412
2025-05,Smart,22918
2025-06,Alpine,6889
2025-06,BYD,83481
2025-06,Jaguar,10830
2025-06,Lancia/Chrysler,18108
2025-06,Smart,20927
2025-07,Alpine,7388
2025-07,BYD,92833
2025-07,Jaguar,9377
2025-07,Lancia/Chrysler,16170
2025-08,Alpine,7887
2025-08,BYD,102185
2025-08,Jaguar,7924
2025-08,Lancia/Chrysler,14232
2025-09,Alpine,8386
2025-09,BYD,111537
2025-09,Jaguar,6471
2025-09,Lancia/Chrysler,12294
2025-10,Alpine,9020
2025-10,BYD,123312
2025-10,Jaguar,4778
2025-10,Lancia/Chrysler,12520
2025-11,Alpine,9661
2025-11,BYD,137877
2025-11,Jaguar,3550
2025-11,Lancia/Chrysler,12706
2025-12,Alpine,10580
2025-12,BYD,157160
2025-12,Jaguar,2760
2025-12,Lancia/Chrysler,12801
