MANUFACTURER,Avg Units YoY
BYD,2.2234981605395974
Alpine,0.9524856545485738
Cupra,0.209018630518845
SAIC Motor,0.10239430909276855
Skoda,0.09280708325794197
Lexus,0.09241777071023395
Honda,0.08565982017073277
Mitsubishi,0.08502419466755287
Alfa Romeo,0.06143661248366884
Volvo Cars,0.04080548218329759
BMW,0.015039918115749345
BMW Group,-0.0021459547370397992
Volkswagen Group,-0.0052139310333049
Dacia,-0.006245465486684843
Toyota Group,-0.007923042219571857
Volkswagen,-0.009839853720024928
Toyota,-0.013737896684028434
Renault Group,-0.013763674703176125
Mercedes,-0.01722125384269475
Renault,-0.020321197928014546
Mini,-0.031280033825745915
Hyundai,-0.03452980827000024
Jeep,-0.03661646054911908
Land Rover,-0.037336733912740956
Porsche,-0.04717593776506832
Mercedes-Benz,-0.05221295655710237
Suzuki,-0.054205216413433524
Citroen,-0.06814972338176487
Hyundai Group,-0.06272634494654449
Peugeot,-0.06814972338176487
Nissan,-0.07396253218844123
Kia,-0.0911379461821765
Audi,-0.09232311494183812
Stellantis,-0.10506292576198133
Seat,-0.10974295249018562
Opel/Vauxhall,-0.1160577925217925
Jaguar Land Rover Group,-0.12099113527893805
Smart,-0.12222645254192284
Ford,-0.1256557149132379
Mazda,-0.1384186996659627
Fiat,-0.1554326159781061
DS,-0.2835104531494572
Tesla,-0.39095006561776596
Lancia/Chrysler,-0.39395223743897956
Jaguar,-0.5894187801174319
