MANUFACTURER,SUM(Value)
Alpine,21.329372538521365
BYD,12.77169790512193
Lexus,7.61426982746283
SAIC Motor,6.210460467969163
Cupra,5.471864339457076
Honda,4.281135448401573
Mitsubishi,3.6657311715437477
Alfa Romeo,2.3972219537694466
Skoda,2.2586786781627914
Toyota Group,2.1624051125957493
Toyota,1.8551857911302614
Volvo Cars,0.893278315694701
Renault,0.8288272946389704
Renault Group,0.7857770372084508
Dacia,0.7602700071128268
Volkswagen Group,0.6900374244484223
Volkswagen,0.6212165708007165
BMW,0.5891987114399632
BMW Group,0.16115660626007655
Mercedes,0.06042501452093618
Citroen,0.057447941327827934
Porsche,-0.2955581788488121
Nissan,-0.3977169850523431
Mercedes-Benz,-0.47213887613747896
Suzuki,-0.5055961614582378
Hyundai,-0.6066968127846288
Peugeot,-0.7356786284021388
Mini,-1.0155254063168104
Audi,-1.08294259406281
Seat,-1.1807114802363625
Jeep,-1.2340417126489511
Hyundai Group,-1.2802578540106746
Land Rover,-1.5349571668794249
Opel/Vauxhall,-1.5670867317727948
Stellantis,-1.669948245020106
Kia,-1.9515612692732036
Ford,-2.1600351939016575
Mazda,-2.248235462467174
Fiat,-2.849837192478858
Jaguar Land Rover Group,-3.0417787106800773
DS,-5.125493908389469
Tesla,-5.98312814134775
Lancia/Chrysler,-8.88054271907231
Smart,-9.574088442120255
Jaguar,-15.390187865901316
